model_name,Тип устройства,Разрешение записи основной камеры,"Поддержка доп.камеры, модель",Доп.камера в комплекте,Разрешение доп. камеры,Функция парковки доп. камеры,CPL-фильтр,Цикл записи,Оптимизация изображения HDR/WDR,G-сенсор (Датчик удара),Датчик движения,Распознавание дорожных знаков (AI function),Процессор,Сенсор (матрица),Режимы работы,Радарный модуль,Сигнатурная подпись (распознавание камер по принимаемому антенной излучения),LNA (Усилитель слабых сигналов),GPS-модуль,Обнаружение GPS камер,Дополнительные возможности обнаружения камер,Запись звука,"WiFi для обновления ПО, настройки, просмотра и отправки видео",Угол обзора,Дисплей,Датчик автоматической регулировки яркости дисплея,Максимальный объём карты памяти,"Штамп на видео (Дата, время, координаты, номер авто, скорость)",Микрофон и динамик,GPS / ГЛОНАСС,Суперконденсатор,Крепление,Разъем для подключения,Входное напряжение ЗУ,Входное напряжение ВР,Гарантия,Ссылка для обновления,Актуальность модели,Ссылка на сайт,Отличительные особенности
Fujida Karma Pro Max Duo WiFi,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),Full HD (1920✕1080 при 30 FPS),Zoom FHD,да,Full HD (1920✕1080 при 30 FPS),нет,есть,"1, 2, 3 мин",WDR,Низкий / Средний / Высокий,есть,нет,Novatek 96675,Sony IMX335,Смарт / Турбо / Тихий,Патч антенна,есть,есть,есть,"Автоматическое, регулируемое","Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,3” IPS,есть,128ГБ,есть,Встроенные,есть,есть,Легкосъемный магнитный кронштейн со сквозным питанием,DC 3.5mm,DC 12-24В,DC 12-24В,2 года,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-pro-max-wifi/,Актуальна,https://fujida.pro/catalog/38/pro-max-duo,"Дальность обнаружения камер за счёт Lna усилителя, высокое качество записи за счёт сенсора Sony, обновлённый интерфейс устройства, доп.камера заднего вида в комплекте. Обнаружение как стационарных камер по GPS-базе так и переносных по радиомодулю."
Fujida Karma Pro Max AI WiFi,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),2560✕1440 30FPS / 2304✕1296 30FPS /  1920✕1080p 60FPS / 1920✕1080p(HDR) 30FPS,нет,нет,Доп. камера отсуствует,нет,есть,"1, 3, 5 мин",HDR/WDR,Низкий / Средний / Высокий,есть,есть,Novatek 96675,Sony IMX335,Смарт / Турбо / Тихий,Патч антенна,есть,есть,есть,"Автоматическое, регулируемое","Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,3” IPS,есть,128ГБ,есть,Встроенные,есть,есть,Легкосъемный магнитный кронштейн со сквозным питанием,DC 3.5mm,DC 12-24В,DC 12-24В,2 года,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-pro-max-wifi/,Актуальна,https://fujida.pro/catalog/37/pro-max,"Дальность обнаружения камер за счёт Lna усилителя, высокое качество записи Quad HD, сенсор Sony, обновлённый интерфейс устройства, Ai-function (распознавание дорожных знаков) Обнаружение как стационарных камер по GPS-базе так и переносных по радиомодулю."
Fujida Karma Pro S WiFi,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),2304✕1296 30FPS /  1920✕1080p 60FPS / 1920✕1080p(HDR) 30FPS,нет,нет,Доп. Камера отсуствует,нет,есть,"1, 3, 5 мин",HDR/WDR,Низкий / Средний / Высокий,есть,есть,Novatek 96675,SONY IMX307 Star Night,Россия / Смарт / Москва / СНГ,Патч антенна,есть,нет,есть,"Автоматическое, регулируемое","Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,3” IPS,есть,128ГБ,есть,Встроенные,есть,есть,Легкосъемный магнитный кронштейн со сквозным питанием,"USB Type-C, в ранних моделях использовался Mini USB",DC 12-24В,DC 5В,2 года,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-pro-s-wifi/,Актуальна,https://fujida.pro/catalog/4/pro-s,"Отличное качество записи днём и ночью благодоря сенсору Sony IMX307 star night, Антенна с фирменным ПО от Fujida, Ai-function (распознавание дорожных знаков), огромное количество положительных отзывов. Лучший вариант комбо-устройства 3 в 1 за свою цену. Обнаружение как стационарных камер по GPS-базе так и переносных по радиомодулю."
Fujida Karma Bliss Max Duo WiFi,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),Full HD (1920✕1080 при 30 FPS),Zoom FHD 2,да,Full HD (1920✕1080 при 30 FPS),есть,есть,"1, 2, 3 мин",WDR,Низкий / Средний / Высокий,нет,нет,Mstar 8339,SONY IMX307 Star Night,Смарт / Тихий,Патч антенна,есть,есть,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,3” IPS,есть,128ГБ,есть,Встроенные,есть,есть,Легкосъемный магнитный кронштейн со сквозным питанием,DC 3.5mm,DC 12-24В,DC 12-24В,2 года,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-bliss-max-wifi/,"Продаётся, снята с производства",,
Fujida Karma Bliss Max WiFi,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),1920✕1080p   60FPS,нет,нет,Доп. камера отсуствует,нет,есть,"1, 3, 5 мин",WDR,Низкий / Средний / Высокий,нет,нет,Mstar 8339,SONY IMX307 Star Night,Смарт / Тихий,Патч антенна,есть,есть,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,3” IPS,есть,128ГБ,есть,Встроенные,есть,есть,Легкосъемный магнитный кронштейн со сквозным питанием,DC 3.5mm,DC 12-24В,DC 12-24В,2 года,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-bliss-max-wifi/,"Продаётся, снята с производства",,
Fujida Karma One,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),1920✕1080p   30FPS,нет,нет,Доп. камера отсуствует,нет,нет,"1, 3, 5 мин",WDR,Низкий / Средний / Высокий,нет,нет,Mstar 8336,SONY IMX307 Star Night,Смарт / Тихий,Рупорная антенна,есть,нет,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,3” IPS,Автояркость реализована через сенсор Sony,128ГБ,есть,Встроенные,есть,есть,Легкосъемный магнитный кронштейн со сквозным питанием,DC 3.5mm,DC 12-24В,DC 12-24В,2 года,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-one-wifi/,Актуальна,https://fujida.pro/catalog/40/one,"Отличное качество записи днём и ночью благодоря сенсору Sony IMX307 star night, дальность обнаружения камер благодоря огромной рупорной антенне, обновлённый интерфейс устройства, магнитное крепление. Обнаружение как стационарных камер по GPS-базе так и переносных по радиомодулю."
Fujida Karma Bliss SE Duo WiFi,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),Full HD (1920✕1080 при 30 FPS),Zoom FHD 2,да,Full HD (1920✕1080 при 30 FPS),есть,нет,"1, 2, 3 мин",WDR,Низкий / Средний / Высокий,есть,нет,Mstar 8339,GalaxyCore GC2053,Россия / Смарт / Москва / СНГ,Патч антенна,есть,нет,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,3” IPS,есть,128ГБ,есть,Встроенные,есть,есть,Легкосъемный магнитный кронштейн со сквозным питанием,DC 3.5mm,DC 12-24В,DC 12-24В,2 года,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-bliss-se-wifi/,"Продаётся, снята с производства",https://fujida.pro/catalog/36/bliss-se-duo,
Fujida Karma Bliss SE WiFi,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),1920✕1080p   60FPS  / 1920✕1080p   30FPS,нет,нет,Доп. камера отсуствует,нет,нет,"1, 3, 5 мин",WDR,Низкий / Средний / Высокий,есть,нет,Mstar 8339,GalaxyCore GC2053,Россия / Смарт / Москва / СНГ,Патч антенна,есть,нет,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,3” IPS,есть,128ГБ,есть,Встроенные,есть,есть,Легкосъемный магнитный кронштейн со сквозным питанием,DC 3.5mm,DC 12-24В,DC 12-24В,2 года,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-bliss-se-wifi/,"Продаётся, снята с производства",https://fujida.pro/catalog/18/bliss-se,
Fujida Karma Blik Duo WiFi,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),Full HD (1920✕1080 при 30 FPS),Zoom FHD 2,да,Full HD (1920✕1080 при 30 FPS),есть,нет,"1, 2, 3 мин",WDR,Низкий / Средний / Высокий,есть,нет,Mstar 8339,GalaxyCore GC2053,Россия / Смарт / Москва / СНГ,Патч антенна,есть,нет,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,5” IPS,нет,128ГБ,есть,Встроенные,есть,есть,Эластичные стяжки,DC 3.5mm,DC 12-24В,DC 12-24В,1 год,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-blik-wifi/,"Продаётся, снята с производства",,
Fujida Karma Blik WiFi,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),2304✕1296 30FPS /  1920✕1080p 60FPS / 1920✕1080p 30FPS,нет,нет,Доп. камера отсуствует,нет,нет,"1, 3, 5 мин",WDR,Низкий / Средний / Высокий,есть,нет,Mstar 8339,GalaxyCore GC2053,Россия / Смарт / Москва / СНГ,Патч антенна,есть,нет,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,5” IPS,есть,128ГБ,есть,Встроенные,есть,есть,Эластичные стяжки,DC 3.5mm,DC 12-24В,DC 12-24В,1 год,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-blik-wifi/,"Продаётся, снята с производства",,
